,x,z,IC
983,30,23,5.0
984,30,24,5.0
985,30,25,5.0
986,30,26,5.0
987,30,27,5.0
988,30,28,5.0
989,30,29,5.0
990,30,30,5.0
991,30,31,5.0
992,31,0,1.0
993,31,1,1.0
994,31,2,1.0
995,31,3,1.0
996,31,4,1.0
997,31,5,4.0
998,31,6,4.0
999,31,7,5.0
1000,31,8,5.0
1001,31,9,5.0
1002,31,10,5.0
1003,31,11,5.0
1004,31,12,5.0
1005,31,13,5.0
1006,31,14,5.0
1007,31,15,5.0
1008,31,16,5.0
1009,31,17,5.0
1010,31,18,5.0
1011,31,19,5.0
1012,31,20,5.0
1013,31,21,5.0
1014,31,22,5.0
1015,31,23,5.0
1016,31,24,5.0
1017,31,25,5.0
1018,31,26,5.0
1019,31,27,5.0
1020,31,28,5.0
1021,31,29,5.0
1022,31,30,5.0
1023,31,31,5.0
1024,32,0,1.0
1025,32,1,1.0
1026,32,2,1.0
1027,32,3,1.0
1028,32,4,1.0
1029,32,5,4.0
1030,32,6,4.0
1031,32,7,5.0
1032,32,8,5.0
1033,32,9,5.0
1034,32,10,5.0
1035,32,11,5.0
1036,32,12,5.0
1037,32,13,5.0
1038,32,14,5.0
1039,32,15,5.0
1040,32,16,5.0
1041,32,17,5.0
1042,32,18,5.0
1043,32,19,5.0
1044,32,20,5.0
1045,32,21,5.0
1046,32,22,5.0
1047,32,23,5.0
1048,32,24,5.0
1049,32,25,5.0
1050,32,26,5.0
1051,32,27,5.0
1052,32,28,5.0
1053,32,29,5.0
1054,32,30,5.0
1055,32,31,5.0
1056,33,0,1.0
1057,33,1,1.0
1058,33,2,1.0
1059,33,3,1.0
1060,33,4,1.0
1061,33,5,4.0
1062,33,6,4.0
1063,33,7,5.0
1064,33,8,5.0
1065,33,9,5.0
1066,33,10,5.0
1067,33,11,5.0
1068,33,12,5.0
1069,33,13,5.0
1070,33,14,5.0
1071,33,15,5.0
1072,33,16,5.0
1073,33,17,5.0
1074,33,18,5.0
1075,33,19,5.0
1076,33,20,5.0
1077,33,21,5.0
1078,33,22,5.0
1079,33,23,5.0
1080,33,24,5.0
1081,33,25,5.0
1082,33,26,5.0
1083,33,27,5.0
1084,33,28,5.0
1085,33,29,5.0
1086,33,30,5.0
1087,33,31,5.0
1088,34,0,1.0
1089,34,1,1.0
1090,34,2,1.0
1091,34,3,1.0
1092,34,4,1.0
1093,34,5,4.0
1094,34,6,4.0
1095,34,7,5.0
1096,34,8,5.0
1097,34,9,5.0
1098,34,10,5.0
1099,34,11,5.0
1100,34,12,5.0
1101,34,13,5.0
1102,34,14,5.0
1103,34,15,5.0
1104,34,16,5.0
1105,34,17,5.0
1106,34,18,5.0
1107,34,19,5.0
1108,34,20,5.0
1109,34,21,5.0
1110,34,22,5.0
1111,34,23,5.0
1112,34,24,5.0
1113,34,25,5.0
1114,34,26,5.0
1115,34,27,5.0
1116,34,28,5.0
1117,34,29,5.0
1118,34,30,5.0
1119,34,31,5.0
1120,35,0,1.0
1121,35,1,1.0
1122,35,2,1.0
1123,35,3,1.0
1124,35,4,1.0
1125,35,5,4.0
1126,35,6,4.0
1127,35,7,5.0
1128,35,8,5.0
1129,35,9,5.0
1130,35,10,5.0
1131,35,11,5.0
1132,35,12,5.0
1133,35,13,5.0
1134,35,14,5.0
1135,35,15,5.0
1136,35,16,5.0
1137,35,17,5.0
1138,35,18,5.0
1139,35,19,5.0
1140,35,20,5.0
1141,35,21,5.0
1142,35,22,5.0
1143,35,23,5.0
1144,35,24,5.0
1145,35,25,5.0
1146,35,26,5.0
1147,35,27,5.0
1148,35,28,5.0
1149,35,29,5.0
1150,35,30,5.0
1151,35,31,5.0
1152,36,0,1.0
1153,36,1,1.0
1154,36,2,1.0
1155,36,3,1.0
1156,36,4,1.0
1157,36,5,4.0
1158,36,6,4.0
1159,36,7,5.0
1160,36,8,5.0
1161,36,9,5.0
1162,36,10,5.0
1163,36,11,5.0
1164,36,12,5.0
1165,36,13,5.0
1166,36,14,5.0
1167,36,15,5.0
1168,36,16,5.0
1169,36,17,5.0
1170,36,18,5.0
1171,36,19,5.0
1172,36,20,5.0
1173,36,21,5.0
1174,36,22,5.0
1175,36,23,5.0
1176,36,24,5.0
1177,36,25,5.0
1178,36,26,5.0
1179,36,27,5.0
1180,36,28,5.0
1181,36,29,5.0
1182,36,30,5.0
1183,36,31,5.0
1184,37,0,1.0
1185,37,1,1.0
1186,37,2,1.0
1187,37,3,1.0
1188,37,4,1.0
1189,37,5,4.0
1190,37,6,4.0
1191,37,7,5.0
1192,37,8,5.0
1193,37,9,5.0
1194,37,10,5.0
1195,37,11,5.0
1196,37,12,5.0
1197,37,13,5.0
1198,37,14,5.0
1199,37,15,5.0
1200,37,16,5.0
1201,37,17,5.0
1202,37,18,5.0
1203,37,19,5.0
1204,37,20,5.0
1205,37,21,5.0
1206,37,22,5.0
1207,37,23,5.0
1208,37,24,5.0
1209,37,25,5.0
1210,37,26,5.0
1211,37,27,5.0
1212,37,28,5.0
1213,37,29,5.0
1214,37,30,5.0
1215,37,31,5.0
1216,38,0,1.0
1217,38,1,1.0
1218,38,2,1.0
1219,38,3,1.0
1220,38,4,1.0
1221,38,5,4.0
1222,38,6,4.0
1223,38,7,5.0
1224,38,8,5.0
1225,38,9,5.0
1226,38,10,5.0
1227,38,11,5.0
1228,38,12,5.0
1229,38,13,5.0
1230,38,14,5.0
1231,38,15,5.0
1232,38,16,5.0
1233,38,17,5.0
1234,38,18,5.0
1235,38,19,5.0
1236,38,20,5.0
1237,38,21,5.0
1238,38,22,5.0
1239,38,23,5.0
1240,38,24,5.0
1241,38,25,5.0
1242,38,26,5.0
1243,38,27,5.0
1244,38,28,5.0
1245,38,29,5.0
1246,38,30,5.0
1247,38,31,5.0
1248,39,0,1.0
1249,39,1,1.0
1250,39,2,1.0
1251,39,3,1.0
1252,39,4,1.0
1253,39,5,4.0
1254,39,6,4.0
1255,39,7,5.0
1256,39,8,5.0
1257,39,9,5.0
1258,39,10,5.0
1259,39,11,5.0
1260,39,12,5.0
1261,39,13,5.0
1262,39,14,5.0
1263,39,15,5.0
1264,39,16,5.0
1265,39,17,5.0
1266,39,18,5.0
1267,39,19,5.0
1268,39,20,5.0
1269,39,21,5.0
1270,39,22,5.0
1271,39,23,5.0
1272,39,24,5.0
1273,39,25,5.0
1274,39,26,5.0
1275,39,27,5.0
1276,39,28,5.0
1277,39,29,5.0
1278,39,30,5.0
1279,39,31,5.0
1280,40,0,1.0
1281,40,1,1.0
1282,40,2,1.0
1283,40,3,1.0
1284,40,4,1.0
1285,40,5,4.0
1286,40,6,4.0
1287,40,7,5.0
1288,40,8,5.0
1289,40,9,5.0
1290,40,10,5.0
1291,40,11,5.0
1292,40,12,5.0
1293,40,13,5.0
1294,40,14,5.0
1295,40,15,5.0
1296,40,16,5.0
1297,40,17,5.0
1298,40,18,5.0
1299,40,19,5.0
1300,40,20,5.0
1301,40,21,5.0
1302,40,22,5.0
1303,40,23,5.0
1304,40,24,5.0
1305,40,25,5.0
1306,40,26,5.0
1307,40,27,5.0
1308,40,28,5.0
1309,40,29,5.0
1310,40,30,5.0
1311,40,31,5.0
1312,41,0,1.0
1313,41,1,1.0
1314,41,2,1.0
1315,41,3,1.0
1316,41,4,1.0
1317,41,5,1.0
1318,41,6,4.0
1319,41,7,5.0
1320,41,8,5.0
1321,41,9,5.0
1322,41,10,5.0
1323,41,11,5.0
1324,41,12,5.0
1325,41,13,5.0
1326,41,14,5.0
1327,41,15,5.0
1328,41,16,5.0
1329,41,17,5.0
1330,41,18,5.0
1331,41,19,5.0
1332,41,20,5.0
1333,41,21,5.0
1334,41,22,5.0
1335,41,23,5.0
1336,41,24,5.0
1337,41,25,5.0
1338,41,26,5.0
1339,41,27,5.0
1340,41,28,5.0
1341,41,29,5.0
1342,41,30,5.0
1343,41,31,5.0
1344,42,0,1.0
